Group,Species,N_Years,First_Year,Last_Year,N_Records,Mean_growth_rate,Lower_CI,Upper_CI,Precision
Lichens,Caloplaca austrocitrina,5,2011,2015,86,54.147,-5.582864559,158.8594744,0.000334396
Lichens,Caloplaca limonia,9,2007,2015,122,46.7061,-3.130705923,121.0640364,0.000681559
Lichens,Hypotrachyna afrorevoluta,6,2010,2015,137,18.7925,-4.818836569,72.67449403,0.001538116
Lichens,Hypotrachyna revoluta s. str.,4,2012,2015,51,12.1314,-4.545919266,89.09665367,0.001601369
Orthoptera,Meconema meridionale,11,2005,2015,54,22.8801,-9.827058451,50.99167236,0.004755524
Moths,Cyclophora ruficiliaria,20,1996,2015,79,0.8647,-21.71913899,22.77166408,0.005309951
Moths,Siona lineata,26,1990,2015,200,19.6377,-1.105006039,36.19743675,0.005457262
Ladybirds,Harmonia axyridis,13,2003,2015,22505,48.9441,14.99760857,72.94941372,0.005567416
Lichens,Marchandiomyces aurantiacus,10,2006,2015,57,23.4936,0.067497671,51.49450567,0.006029122
Moths,Coenophila subrosea,11,2005,2015,67,-6.1871,-28.33075961,20.80894444,0.006780089
Bees,Colletes hederae,16,2000,2015,1640,35.4508,11.15748891,51.20610489,0.009736846
Moths,Scopula nigropunctata,26,1990,2015,58,8.9931,-2.09014373,33.23710609,0.009850069
Dragonflies,Lestes barbarus,13,2002,2014,66,-2.0955,-20.58910416,19.44099882,0.01029655
Weevils,Pachyrhinus lethierryi,10,2006,2015,50,9.8758,-9.714322226,26.60847526,0.011403011
Lichens,Verrucaria calciseda auct.,15,2001,2015,103,37.194,19.76807403,55.92284477,0.011492317
ShieldBugs,Leptoglossus occidentalis,8,2008,2015,130,24.3718,8.46044141,44.07736647,0.01228692
Mayflies,Baetis fuscatus,16,2000,2015,75,30.722,15.18087496,45.75037999,0.013503271
Lichens,Illosporiopsis christiansenii,21,1995,2015,85,19.1358,3.804515321,35.54370766,0.014308051
Lacewings,Chrysoperla lucasina,19,1992,2010,73,10.535,-5.031278148,26.80018049,0.01483285
Moths,Synanthedon flaviventris,39,1976,2014,86,1.2321,-9.497671799,16.98796433,0.014951743
ShieldBugs,Stictopleurus punctatonervosus,15,2001,2015,230,-0.1612,-15.57692049,14.62908905,0.015724387
Spiders,Theridion hemerobium,18,1996,2013,56,7.8629,-7.000658887,23.32209637,0.017005505
Moths,Conistra erythrocephala,16,1997,2012,71,6.4599,-6.076074678,23.73891966,0.017365841
Moths,Coscinia cribraria,45,1971,2015,91,-2.4339,-12.13401414,10.55716111,0.017894367
Lichens,Caloplaca oasis,17,1999,2015,194,32.2345,19.24705607,48.66608196,0.018080457
Moths,Xestia alpicola,40,1975,2014,51,6.0876,-3.623256979,18.08135066,0.018152098
PlantBugs,Deraeocoris flavilinea,20,1996,2015,421,21.9786,9.286832119,36.86164768,0.019290601
Moths,Dryobota labecula,17,1999,2015,269,18.5562,5.28154755,33.65951809,0.019367838
